Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJDFT;0708362-05.2024.8.07.0012;2024;{12486,7779};;;{QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.,CEAM BRASIL - PLANOS DE SAUDE LIMITADA};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0703652-39.2024.8.07.0012;2024;{9196,9580,12486,10671};;;{QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.,SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJDFT;0701602-40.2024.8.07.0012;2024;{9596,12486};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{SOCIEDADE ANONIMA FECHADA}
TJDFT;0708567-34.2024.8.07.0012;2024;{7780,12486,7779};;;{IDEAL SAUDE ASSISTENCIA MEDICA AMBULATORIAL LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0703665-38.2024.8.07.0012;2024;{10434,12486};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,TECBEN ADMINISTRADORA DE BENEFICIOS LTDA};{COOPERATIVA,SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0706358-92.2024.8.07.0012;2024;{12486};;;{QUALLITY PRO SAUDE PLANO DE ASSISTENCIA MEDICA LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0700438-06.2025.8.07.0012;2025;{10945,12489,12486,12487};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.,ALLCARE ADMINISTRADORA DE BENEFICIOS EM SAUDE LTDA};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0700859-30.2024.8.07.0012;2024;{7714,12486,7779};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{COOPERATIVA,SOCIEDADE ANONIMA FECHADA}
TJDFT;0703448-92.2024.8.07.0012;2024;{12489,7691,7779,7780};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJDFT;0707749-82.2024.8.07.0012;2024;{7714,7779,7780,9596,12486};;;{EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0702966-47.2024.8.07.0012;2024;{12489};;;{POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS};{ASSOCIACAO PRIVADA}
TJDFT;0703323-27.2024.8.07.0012;2024;{10433,12486,10671};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJDFT;0703642-92.2024.8.07.0012;2024;{12486};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,TECBEN ADMINISTRADORA DE BENEFICIOS LTDA};{COOPERATIVA,SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0703287-82.2024.8.07.0012;2024;{12486,9163};;;{IDEAL SAUDE ASSISTENCIA MEDICA AMBULATORIAL LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJDFT;0703116-28.2024.8.07.0012;2024;{12489};;;{ELO ADMINISTRADORA DE BENEFICIOS LTDA,ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA};{SOCIEDADE EMPRESARIA LIMITADA,SOCIEDADE EMPRESARIA LIMITADA}
