Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJGO;5779186-24.2024.8.09.0051;2024;{12494};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5825510-85.2024.8.09.0079;2024;{12506};;;{ESTADO DE GOIAS,MUNICIPIO DE INHUMAS};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJGO;5065511-98.2025.8.09.0051;2025;{12496};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5067450-24.2021.8.09.0029;2024;{10671,12503};;;{ESTADO DE GOIAS,INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO};{ESTADO OU DISTRITO FEDERAL,AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJGO;5811186-14.2023.8.09.0051;2025;{12505};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5091386-07.2024.8.09.0051;2025;{12505,13537};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5595649-93.2022.8.09.0051;2024;{12506,10671};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5315108-33.2017.8.09.0051;2024;{10671,12487};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5512196-06.2022.8.09.0051;2025;{12496,13537};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5644911-46.2021.8.09.0051;2024;{10671,12503};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5758384-39.2023.8.09.0051;2025;{12505,13537};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5680769-41.2021.8.09.0051;2024;{12495};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5758178-59.2022.8.09.0051;2024;{12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5312535-75.2024.8.09.0051;2025;{13537,12503};;;{ESTADO DE GOIAS,SECRETARIA DE ESTADO DA SAUDE,SUPERINTENDENTE DE REGULACAO CONTROLE E AVALIACAO};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ND}
TJGO;5767607-50.2022.8.09.0051;2024;{12489};;;{INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJGO;5588518-67.2022.8.09.0051;2024;{12494};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;0455268-67.2015.8.09.0051;2024;{9517,12489};;;{INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJGO;5672766-29.2023.8.09.0051;2024;{12505};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5210263-03.2024.8.09.0051;2024;{12505};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS,SECRETARIA MUNICIPAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJGO;5455860-45.2023.8.09.0051;2024;{12505};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5613186-68.2023.8.09.0051;2024;{12505};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5847157-60.2023.8.09.0051;2024;{12505};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5086597-62.2024.8.09.0051;2024;{12505,12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS,SECRETARIA MUNICIPAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE,SUPERINTENDENTE ESTADUAL DE REGULACAO CONTROLE E AVALIACAO};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ND}
TJGO;5046930-69.2024.8.09.0051;2024;{12505,14070};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5072050-17.2024.8.09.0051;2024;{12505};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5220932-52.2023.8.09.0051;2025;{12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5258693-20.2023.8.09.0051;2024;{12506};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5074692-31.2022.8.09.0051;2024;{13537,12494};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5519125-89.2021.8.09.0051;2024;{12512};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5253963-29.2024.8.09.0051;2024;{12506};{DEFENSORIA PUBLICA DO ESTADO DE GOIAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5289718-51.2023.8.09.0051;2024;{12503};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5622848-90.2022.8.09.0051;2024;{12496};;;{ESTADO DE GOIAS};{ESTADO OU DISTRITO FEDERAL}
TJGO;5625379-86.2021.8.09.0051;2024;{12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5372723-34.2024.8.09.0051;2024;{13537,12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5444722-81.2023.8.09.0051;2024;{13537,12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5683801-83.2023.8.09.0051;2024;{13537,12506};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJGO;5685065-38.2023.8.09.0051;2024;{10656,12505};;;{MUNICIPIO DE GOIANIA,ESTADO DE GOIAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
