Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJMS;0806758-61.2024.8.12.0017;2024;{12416,12489,12506};;;{ESTADO DE MATO GROSSO DO SUL,MUNICIPIO DE NOVA ANDRADINA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMS;sigiloso(722500257);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(644217846);2024;{12416,12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(708282298);2024;{12416,12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(730619704);2025;{12416,12508,12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(557610022);2024;{12489,5802};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(605591981);2024;{9627,12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(722765280);2024;{12498};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(436752269);2024;{12490,10671};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(436861208);2024;{12490,10671};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(681636927);2024;{12490};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;sigiloso(632022674);2024;{12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJMS;0900039-71.2024.8.12.0017;2024;{12490,10671};{MINISTERIO PUBLICO ESTADUAL,MINISTERIO PUBLICO ESTADUAL};{ND,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE NOVA ANDRADINA,ESTADO DE MATO GROSSO DO SUL,ESTADO DE MATO GROSSO DO SUL};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ND}
TJMS;0900172-16.2024.8.12.0017;2024;{12494,12495};{MINISTERIO PUBLICO ESTADUAL};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{ESTADO DE MATO GROSSO DO SUL,MUNICIPIO DE NOVA ANDRADINA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMS;0900025-87.2024.8.12.0017;2024;{12494,12495};{MINISTERIO PUBLICO ESTADUAL,MINISTERIO PUBLICO ESTADUAL};{ND,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE NOVA ANDRADINA,ESTADO DE MATO GROSSO DO SUL,ESTADO DE MATO GROSSO DO SUL};{MUNICIPIO,ND,ESTADO OU DISTRITO FEDERAL}
TJMS;0804547-40.2024.8.12.0021;2024;{10437,12489,10671};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
