Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJMT;1074356-03.2024.8.11.0041;2024;{9196,12503};;;{MUNICIPIO DE CUIABA};{MUNICIPIO}
TJMT;1036688-95.2024.8.11.0041;2024;{12416,12501,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA,FUNDO ESTADUAL DE SAUDE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO,FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL}
TJMT;1026282-15.2024.8.11.0041;2024;{12416,12506,12503,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1026304-73.2024.8.11.0041;2024;{12416,12506,12503,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1078648-31.2024.8.11.0041;2024;{12416,12506,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1025432-58.2024.8.11.0041;2024;{12500,12416};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1032871-23.2024.8.11.0041;2024;{12484,12416};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1035760-47.2024.8.11.0041;2024;{12484,12416,10671};;;{ESTADO DE MATO GROSSO};{ESTADO OU DISTRITO FEDERAL}
TJMT;1077824-72.2024.8.11.0041;2024;{12416,12506};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1052866-22.2024.8.11.0041;2024;{12503};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1078462-08.2024.8.11.0041;2024;{12416,12502,12503,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1007111-38.2025.8.11.0041;2025;{12416,12489,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE CUIABA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1039922-85.2024.8.11.0041;2024;{12416,14759,10671};;;{ESTADO DE MATO GROSSO,MUNICIPIO DE SAPEZAL};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJMT;1008042-75.2024.8.11.0041;2024;{12486};;;{UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJMT;1031908-15.2024.8.11.0041;2024;{12416,7779,12486,10671};{INVEST - FOMENTO MERCANTIL LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{UNIMED CUIABA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJMT;1002620-22.2024.8.11.0041;2024;{12416,11811,9196,12486,10671};;;{UNIMED CUIABA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJMT;1011773-79.2024.8.11.0041;2024;{11810,11811,14925,11974,12486};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJMT;1027968-42.2024.8.11.0041;2024;{9196,12489,10671};;;{UNIMED CUIABA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJMT;1040663-28.2024.8.11.0041;2024;{9196,12506};;;{HOSPITAL E MATERNIDADE SAO MATEUS LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJMT;1053174-58.2024.8.11.0041;2024;{12416,12489,12486};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
