Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJAL;0700542-82.2024.8.02.0202;2024;{10244,6064,14759};;;{GABINETE DO VICE GOVERNADOR,ESTADO DE ALAGOAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJAL;0700209-33.2024.8.02.0202;2024;{12508};;;;
TJAL;0700534-08.2024.8.02.0202;2024;{12508};;;;
TJAL;0700652-81.2024.8.02.0202;2024;{14759,12503};;;{ESTADO DE ALAGOAS};{ESTADO OU DISTRITO FEDERAL}
TJAL;0700703-92.2024.8.02.0202;2024;{14760,12416};;;{GABINETE DO VICE GOVERNADOR,ESTADO DE ALAGOAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJAL;0800003-90.2025.8.02.0202;2025;{12508};{PROCURADORIA GERAL DE JUSTICA DO ESTADO DE ALAGOAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{PROCURADORIA GERAL DO ESTADO,MUNICIPIO DE AGUA BRANCA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJAL;0700709-02.2024.8.02.0202;2024;{10244,12503};;;{MUNICIPIO DE PARICONHA};{MUNICIPIO}
TJAL;0000001-56.2025.8.02.0202;2025;{12487};;;{ESTADO DE ALAGOAS};{ESTADO OU DISTRITO FEDERAL}
TJAL;0700603-40.2024.8.02.0202;2024;{12493};;;{ESTADO DE ALAGOAS};{ESTADO OU DISTRITO FEDERAL}
TJAL;0700141-49.2025.8.02.0202;2025;{12493};;;{ESTADO DE ALAGOAS};{ESTADO OU DISTRITO FEDERAL}
