Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJCE;3000211-61.2024.8.06.0111;2024;{12487,13319};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT,MUNICIPIO DE JIJOCA DE JERICOACOARA};{ASSOCIACAO PRIVADA,MUNICIPIO}
TJCE;3000231-52.2024.8.06.0111;2024;{12485,13319,10671};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT,MUNICIPIO DE JIJOCA DE JERICOACOARA};{ASSOCIACAO PRIVADA,MUNICIPIO}
TJCE;3000072-12.2024.8.06.0111;2024;{12512};;;{ESTADO DO CEARA,MUNICIPIO DE JIJOCA DE JERICOACOARA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJCE;3000057-43.2024.8.06.0111;2024;{12502};;;{MUNICIPIO DE JIJOCA DE JERICOACOARA,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT,ESTADO DO CEARA};{MUNICIPIO,ASSOCIACAO PRIVADA,ESTADO OU DISTRITO FEDERAL}
TJCE;0800048-02.2024.8.06.0111;2024;{12508};{MUNICIPIO DE FLORIANOPOLIS};{MUNICIPIO};;
TJCE;3000057-43.2024.8.06.0111;2024;{12502};;;{MUNICIPIO DE JIJOCA DE JERICOACOARA,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT,ESTADO DO CEARA};{MUNICIPIO,ASSOCIACAO PRIVADA,ESTADO OU DISTRITO FEDERAL}
TJCE;3000298-51.2024.8.06.0132;2024;{12497,12499,12485,12502,12487};;;{MUNICIPIO DE SANTANA DO CARIRI};{MUNICIPIO}
TJCE;3000293-29.2024.8.06.0132;2024;{12503};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
TJCE;3000231-86.2024.8.06.0132;2024;{12498};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
TJCE;3000042-11.2024.8.06.0132;2024;{12496,12487};;;{ESTADO DO CEARA,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ESTADO OU DISTRITO FEDERAL,ASSOCIACAO PRIVADA}
TJCE;3000169-46.2024.8.06.0132;2024;{10434,12490};;;{UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MEDICA LTDA};{COOPERATIVA}
TJCE;3000310-65.2024.8.06.0132;2024;{12493};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
TJCE;0200038-41.2024.8.06.0132;2024;{12487};;;;
TJCE;0200187-37.2024.8.06.0132;2024;{12489};;;;
TJCE;0200108-58.2024.8.06.0132;2024;{12487};;;;
TJCE;0200475-82.2024.8.06.0132;2024;{12487};;;{ESTADO DO CEARA};{ESTADO OU DISTRITO FEDERAL}
TJCE;sigiloso(639690582);2024;{5802,12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJCE;3000102-18.2023.8.06.0132;2024;{12416,12502,12503};;;{ESTADO DO CEARA};{ESTADO OU DISTRITO FEDERAL}
TJCE;0200357-77.2022.8.06.0132;2025;{12489};;;{MUNICIPIO DE NOVA OLINDA};{MUNICIPIO}
TJCE;0050487-89.2021.8.06.0132;2024;{12489,10671};;;{ESTADO DO CEARA,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ESTADO OU DISTRITO FEDERAL,ASSOCIACAO PRIVADA}
TJCE;3002095-72.2024.8.06.0064;2024;{12485};;;{ESTADO DO CEARA,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ESTADO OU DISTRITO FEDERAL,ASSOCIACAO PRIVADA}
TJCE;3002212-63.2024.8.06.0064;2024;{12503};;;{ESTADO DO CEARA};{ESTADO OU DISTRITO FEDERAL}
TJCE;3002719-24.2024.8.06.0064;2024;{12495};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT,ESTADO DO CEARA};{ASSOCIACAO PRIVADA,ESTADO OU DISTRITO FEDERAL}
TJCE;3005302-79.2024.8.06.0064;2024;{12485};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
TJCE;3005540-98.2024.8.06.0064;2024;{12485};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
TJCE;3005955-81.2024.8.06.0064;2024;{12499};;;{IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT};{ASSOCIACAO PRIVADA}
