Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJMA;0802942-17.2024.8.10.0053;2024;{12489,12503};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJMA;0800355-30.2024.8.10.0018;2024;{12489,10434};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJMA;0800881-94.2024.8.10.0018;2024;{12488,13605,11811};;;{HUMANA ASSISTENCIA MEDICA LTDA,G2C ADMINISTRADORA DE BENEFICIOS LTDA.};{SOCIEDADE EMPRESARIA LIMITADA,SOCIEDADE SIMPLES LIMITADA}
TJMA;0801255-13.2024.8.10.0018;2024;{12489};;;{HUMANA ASSISTENCIA MEDICA LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJMA;0800180-36.2024.8.10.0018;2024;{12488,10434,13605,10671};;;{BRADESCO SAUDE S/A,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJMA;0802105-67.2024.8.10.0018;2024;{12488};{R F SILVA SANTOS ALUGUEL LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJMA;0800602-11.2024.8.10.0018;2024;{12488,13605,12490};;;{BRADESCO SAUDE S/A,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJMA;0800619-47.2024.8.10.0018;2024;{12488};;;{BRADESCO SAUDE S/A,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJMA;0801265-57.2024.8.10.0018;2024;{10440,12488,11811,7780};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,UNITY CLUBE DE BENEFICIOS};{COOPERATIVA,ASSOCIACAO PRIVADA}
TJMA;0801786-02.2024.8.10.0018;2024;{12489,10434};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJMA;0801482-37.2023.8.10.0018;2025;{12488,13605,12502};;;{UNIMED SEGUROS SAUDE S/A,MAIS SEGURO CLUBE DE BENEFICIOS,PLATINUM CLUBE DE BENEFICIOS};{SOCIEDADE ANONIMA FECHADA,ASSOCIACAO PRIVADA,ASSOCIACAO PRIVADA}
