Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJPB;0800315-31.2024.8.15.0981;2024;{12495};{MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE QUEIMADAS};{MUNICIPIO}
TJPB;0800362-68.2025.8.15.0981;2025;{12500};{MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{SECRETARIA MUNICIPAL DE SAUDE DE QUEIMADAS};{ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL}
TJPB;0802057-91.2024.8.15.0981;2024;{12484};;;{ESTADO DA PARAIBA};{ESTADO OU DISTRITO FEDERAL}
TJPB;0802592-20.2024.8.15.0981;2024;{12484};;;{ESTADO DA PARAIBA};{ESTADO OU DISTRITO FEDERAL}
TJPB;0801285-31.2024.8.15.0981;2024;{12484};{MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DA PARAIBA};{ESTADO OU DISTRITO FEDERAL}
TJPB;0802203-35.2024.8.15.0981;2024;{12495};;;{MUNICIPIO DE FAGUNDES,ESTADO DA PARAIBA};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPB;0800450-09.2025.8.15.0981;2025;{12496};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DA PARAIBA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJPB;0802596-57.2024.8.15.0981;2024;{12484};;;{MUNICIPIO DE QUEIMADAS,ESTADO DA PARAIBA};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPB;0820301-69.2022.8.15.0001;2024;{12485};;;{MUNICIPIO DE FAGUNDES};{MUNICIPIO}
TJPB;0801595-08.2022.8.15.0981;2024;{12490};;;{MUNICIPIO DE FAGUNDES};{MUNICIPIO}
