Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJPE;0000614-49.2024.8.17.3450;2024;{12483};;;{MUNICIPIO DE TAMANDARE};{MUNICIPIO}
TJPE;0000969-59.2024.8.17.3450;2024;{12506,10587};;;{MUNICIPIO DE TAMANDARE};{MUNICIPIO}
TJPE;0000774-74.2024.8.17.3450;2024;{12508};;;{ESTADO DE PERNAMBUCO,MUNICIPIO DE TAMANDARE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPE;0000802-42.2024.8.17.3450;2024;{12502,12503};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;0000560-83.2024.8.17.3450;2024;{12500,7698,12491};;;{JOSE MARCELO JUCA SAMPAIO};{EMPRESARIO (INDIVIDUAL)}
TJPE;0001056-15.2024.8.17.3450;2024;{12489};;;{AMPLA PLANOS DE SAUDE LTDA,MOUNT HERMON ADMINISTRADORA DE BENEFICIOS LTDA};{SOCIEDADE EMPRESARIA LIMITADA,SOCIEDADE EMPRESARIA LIMITADA}
TJPE;0000631-85.2024.8.17.3450;2024;{12496,12495};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;0000273-23.2024.8.17.3450;2024;{12489};;;{INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJPE;0000429-11.2024.8.17.3450;2024;{14760,12487};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{SOCIEDADE ANONIMA FECHADA}
TJPE;0000556-46.2024.8.17.3450;2024;{12416,10433,12510,10671};;;{SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA}
TJPE;0000558-16.2024.8.17.3450;2024;{12416,10433,12510,10671};;;{SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA}
TJPE;0000338-18.2024.8.17.3450;2024;{12494,12495};;;;
TJPE;0000564-23.2024.8.17.3450;2024;{12489};;;{INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJPE;0000495-88.2024.8.17.3450;2024;{14759};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.,CONFIARE SAUDE ASSISTENCIA DOMICILIAR LTDA};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE EMPRESARIA LIMITADA}
TJPE;0000902-94.2024.8.17.3450;2024;{12493};;;;
TJPE;0000261-09.2024.8.17.3450;2024;{12496};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;sigiloso(637525334);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPE;sigiloso(713435977);2024;{12498};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPE;0000235-54.2024.8.17.3080;2024;{12489,9596,9606,7775};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJPE;0001854-19.2024.8.17.3080;2024;{12483};;;;
TJPE;0000311-78.2024.8.17.3080;2024;{12503};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;0001672-04.2022.8.17.3080;2024;{12503};;;{INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJPE;0000311-78.2024.8.17.3080;2025;{12503};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;0000165-20.2024.8.17.2730;2024;{12490};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{SOCIEDADE ANONIMA FECHADA}
TJPE;0000931-73.2024.8.17.2730;2024;{12488};;;{UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO LTDA,UNIMED RECIFE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA,COOPERATIVA}
TJPE;0000150-17.2025.8.17.2730;2025;{12489};;;{UNIMED UBERLANDIA COOP.REGIONAL TRABALHO MEDICO LTDA};{COOPERATIVA}
TJPE;0000948-12.2024.8.17.2730;2024;{12489};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJPE;0003120-24.2024.8.17.2730;2024;{12490};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJPE;sigiloso(725359060);2025;{12489,9606};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPE;sigiloso(581909323);2024;{10434,12490,9580,9596,7775};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPE;sigiloso(713603356);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPE;0001201-68.2022.8.17.2730;2024;{9196,12490};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJPE;0000725-34.2024.8.17.2900;2024;{12511};;;{MUNICIPIO DE LAGOA GRANDE};{MUNICIPIO}
TJPE;0000045-49.2024.8.17.2900;2024;{12487};;;{MUNICIPIO DE LAGOA GRANDE};{MUNICIPIO}
TJPE;0000040-27.2024.8.17.2900;2024;{12492};;;{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TJPE;0000427-42.2024.8.17.2900;2024;{12491};;;{MUNICIPIO DE LAGOA GRANDE};{MUNICIPIO}
TJPE;0000425-72.2024.8.17.2900;2024;{12492};;;{PROCURADORIA GERAL DO ESTADO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJPE;0000639-63.2024.8.17.2900;2024;{12492};;;;
