Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJPI;0801906-72.2024.8.18.0034;2024;{12509,12490,12510};;;{HUMANA ASSISTENCIA MEDICA LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJPI;0800811-07.2024.8.18.0034;2024;{12500};{PIAUI PROCURADORIA GERAL DA JUSTICA};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE AGUA BRANCA};{MUNICIPIO}
TJPI;0800917-66.2024.8.18.0034;2024;{12494};;;{MUNICIPIO DE AGUA BRANCA-SECRETARIA MUNICIPAL DE SAUDE};{ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL}
TJPI;0800332-14.2024.8.18.0034;2024;{12494};;;{MUNICIPIO DE AGUA BRANCA};{MUNICIPIO}
TJPI;0801325-57.2024.8.18.0034;2024;{12493};;;{MUNICIPIO DE AGUA BRANCA};{MUNICIPIO}
TJPI;0801291-82.2024.8.18.0034;2024;{12506};;;{ESTADO DO PIAUI,PIAUI SECRETARIA DE SAUDE,FUNDACAO MUNICIPAL DE SAUDE};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL}
TJPI;0800366-86.2024.8.18.0034;2024;{11848,12490,12499};;;;
TJPI;0800783-71.2024.8.18.0088;2024;{12495,12499};;;{MUNICIPIO DE CAPITAO DE CAMPOS,ESTADO DO PIAUI};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPI;0800681-49.2024.8.18.0088;2024;{12518};;;{MUNICIPIO DE CAPITAO DE CAMPOS};{MUNICIPIO}
TJPI;0801491-21.2024.8.18.0089;2024;{12500,12502};;;{ESTADO DO PIAUI};{ESTADO OU DISTRITO FEDERAL}
TJPI;0802455-14.2024.8.18.0089;2024;{12494};;;{ESTADO DO PIAUI};{ESTADO OU DISTRITO FEDERAL}
TJPI;0800453-32.2024.8.18.0102;2024;{12508};{CREAS DA CIDADE DE LANDRI SALES PI,PIAUI PROCURADORIA GERAL DA JUSTICA};{ND,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE LANDRI SALES,ESTADO DO PIAUI};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPI;0800685-44.2024.8.18.0102;2024;{12508};{PIAUI PROCURADORIA GERAL DA JUSTICA};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{PIAUI SECRETARIA DE SAUDE,ESTADO DO PIAUI,MUNICIPIO DE LANDRI SALES};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPI;0800760-83.2024.8.18.0102;2024;{12508};{PIAUI PROCURADORIA GERAL DA JUSTICA};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{PIAUI SECRETARIA DE SAUDE,MUNICIPIO DE LANDRI SALES,ESTADO DO PIAUI};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPI;0800046-89.2025.8.18.0102;2025;{12508};{PIAUI PROCURADORIA GERAL DA JUSTICA};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{ESTADO DO PIAUI,PIAUI SECRETARIA DE SAUDE,MUNICIPIO DE LANDRI SALES};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJPI;0800075-39.2025.8.18.0103;2025;{12500,10949};;;;
TJPI;0800168-36.2024.8.18.0103;2024;{12494,13070};{PIAUI PROCURADORIA GERAL DA JUSTICA};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE MATIAS OLIMPIO,ESTADO DO PIAUI};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPI;sigiloso(615232184);2024;{13017,12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPI;0800156-19.2024.8.18.0104;2024;{12494};;;{ESTADO DO PIAUI};{ESTADO OU DISTRITO FEDERAL}
TJPI;0800576-09.2024.8.18.0109;2024;{12500};;;{ESTADO DO PIAUI};{ESTADO OU DISTRITO FEDERAL}
TJPI;0800614-12.2024.8.18.0112;2024;{12495};;;{ESTADO DO PIAUI};{ESTADO OU DISTRITO FEDERAL}
TJPI;0800681-74.2024.8.18.0112;2024;{12495};;;{MUNICIPIO DE RIBEIRO GONCALVES,ESTADO DO PIAUI};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
