Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJRN;0801461-31.2024.8.20.5100;2024;{12486,7779,10439};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO,AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{COOPERATIVA,SOCIEDADE ANONIMA FECHADA}
TJRN;0805362-07.2024.8.20.5100;2024;{12518};;;{AGENCIA REGULADORA DE SERVICOS PUBLICOS DO ESTADO DO RIO GRA};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0804334-04.2024.8.20.5100;2024;{12495};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804333-19.2024.8.20.5100;2024;{12495};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804759-31.2024.8.20.5100;2024;{12485};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0804940-32.2024.8.20.5100;2024;{12501};;;{MUNICIPIO DE ASSU,ESTADO DO RIO GRANDE DO NORTE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJRN;0805523-17.2024.8.20.5100;2024;{12487};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801444-92.2024.8.20.5100;2024;{12494};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0804760-16.2024.8.20.5100;2024;{12494};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0802830-60.2024.8.20.5100;2024;{12495};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0802547-37.2024.8.20.5100;2024;{12485};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0800198-61.2024.8.20.5100;2024;{12494};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0803235-96.2024.8.20.5100;2024;{12487};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0801689-06.2024.8.20.5100;2024;{12494};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0804863-23.2024.8.20.5100;2024;{12494};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0800602-15.2024.8.20.5100;2024;{12491};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0803239-36.2024.8.20.5100;2024;{12495};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0800544-75.2025.8.20.5100;2025;{12485};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0800864-62.2024.8.20.5100;2024;{12494};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0802838-37.2024.8.20.5100;2024;{12501};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0805394-12.2024.8.20.5100;2024;{12498};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0802282-35.2024.8.20.5100;2024;{12495};;;{ESTADO DO RIO GRANDE DO NORTE,MUNICIPIO DE ASSU};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJRN;0804867-60.2024.8.20.5100;2024;{12494};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0800755-48.2024.8.20.5100;2024;{12487};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0800356-82.2025.8.20.5100;2025;{12494};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0804942-02.2024.8.20.5100;2024;{12501};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0800361-41.2024.8.20.5100;2024;{12485};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0804732-48.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801367-83.2024.8.20.5100;2024;{12486};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO,UNIMED DO ESTADO DE SAO PAULO - FEDERACAO ESTADUAL DAS COOPERATIVAS MEDICAS,FEDERACAO DAS UNIMEDS DA AMAZONIA - FEDERACAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO DO ACRE  AMAPA  AMAZONAS  PARA  RONDONIA E RORAIMA,UNIMED DO BRASIL CONFEDERACAO NAC DAS COOPERATIVAS MED,UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED,UNIMED SEGUROS SAUDE S/A};{COOPERATIVA,COOPERATIVA,COOPERATIVA,COOPERATIVA,COOPERATIVA,SOCIEDADE ANONIMA FECHADA}
TJRN;0803085-18.2024.8.20.5100;2024;{12489,10434};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0804864-08.2024.8.20.5100;2024;{12506};;;{MUNICIPIO DE ASSU,ESTADO DO RIO GRANDE DO NORTE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJRN;0805233-02.2024.8.20.5100;2024;{12512};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0800152-38.2025.8.20.5100;2025;{12486};;;{HUMANA ASSISTENCIA MEDICA LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJRN;0804629-41.2024.8.20.5100;2024;{12491};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801810-34.2024.8.20.5100;2024;{12488};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJRN;0800526-88.2024.8.20.5100;2024;{12512};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801668-30.2024.8.20.5100;2024;{12487,7779};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0800020-78.2025.8.20.5100;2025;{12486,10434};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJRN;0801983-58.2024.8.20.5100;2024;{12509};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803459-34.2024.8.20.5100;2024;{12494};;;{ESTADO DO RIO GRANDE DO NORTE,MUNICIPIO DE ASSU};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJRN;0804040-49.2024.8.20.5100;2024;{12501};;;{MUNICIPIO DE ASSU,ESTADO DO RIO GRANDE DO NORTE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJRN;0804966-30.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801984-43.2024.8.20.5100;2024;{12501};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801485-59.2024.8.20.5100;2024;{12489};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJRN;0805537-98.2024.8.20.5100;2024;{12501};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803354-57.2024.8.20.5100;2024;{12503};;;;
TJRN;0802710-17.2024.8.20.5100;2024;{12501};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803529-51.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804568-83.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804184-23.2024.8.20.5100;2024;{12496,12494};;;{RIO GRANDE DO NORTE PROCURADORIA GERAL DO ESTADO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0800124-70.2025.8.20.5100;2025;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801258-69.2024.8.20.5100;2024;{12503};;;{MUNICIPIO DE ASSU,ESTADO DO RIO GRANDE DO NORTE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJRN;0800822-76.2025.8.20.5100;2025;{12503};;;;
TJRN;0800280-58.2025.8.20.5100;2025;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0805008-79.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803811-89.2024.8.20.5100;2024;{12501};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0802038-09.2024.8.20.5100;2024;{12506};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0800415-70.2025.8.20.5100;2025;{12495};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0800805-74.2024.8.20.5100;2024;{12503};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804939-47.2024.8.20.5100;2024;{12490};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0800469-36.2025.8.20.5100;2025;{12496};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804554-36.2023.8.20.5100;2024;{12487};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0803009-62.2022.8.20.5100;2024;{12487};;;{UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRN;0804256-10.2024.8.20.5100;2024;{12495};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0803915-81.2024.8.20.5100;2024;{12494};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803938-27.2024.8.20.5100;2024;{12495};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0804611-88.2022.8.20.5100;2024;{12494,12487};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO,MUNICIPIO DE ASSU};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJRN;0800504-93.2025.8.20.5100;2025;{12484};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0803955-68.2021.8.20.5100;2024;{12485};;;{RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0805125-70.2024.8.20.5100;2024;{12494};;;{MUNICIPIO DE ASSU};{MUNICIPIO}
TJRN;0801430-84.2019.8.20.5100;2024;{12496};;;{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL}
TJRN;0801127-47.2022.8.20.5300;2024;{12489};;;{IBBCA 2008 GESTAO EM SAUDE LTDA,UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO};{SOCIEDADE EMPRESARIA LIMITADA,COOPERATIVA}
TJRN;0803744-24.2024.8.20.5101;2024;{12495};;;{RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,MUNICIPIO DE CAICO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJRN;0802144-65.2024.8.20.5101;2024;{12499};;;{MUNICIPIO DE CAICO};{MUNICIPIO}
TJRN;0801389-41.2024.8.20.5101;2024;{12500};;;{MUNICIPIO DE CAICO};{MUNICIPIO}
TJRN;0802044-13.2024.8.20.5101;2024;{12500};;;{MUNICIPIO DE CAICO,RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0803436-85.2024.8.20.5101;2024;{12495};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0801927-22.2024.8.20.5101;2024;{12500};;;{RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJRN;0801308-92.2024.8.20.5101;2024;{12495};;;{RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,MUNICIPIO DE CAICO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJRN;0805412-30.2024.8.20.5101;2024;{12500};{DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,MUNICIPIO DE CAICO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
