Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJSE;0065152-82.2024.8.25.0001;2024;{13605,10434,12487};{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA};{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJSE;0048491-28.2024.8.25.0001;2024;{12489,12418,8843};;;{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJSE;0001442-88.2024.8.25.0001;2024;{12488,7770,8843};;;{CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL};{ASSOCIACAO PRIVADA}
TJSE;0004324-23.2024.8.25.0001;2024;{12487};;;{UNIMED SEGUROS SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJSE;0032173-67.2024.8.25.0001;2024;{12496,12505,8843,11811,13605,10437};;;{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJSE;0010743-25.2025.8.25.0001;2025;{13605,10434,12487};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJSE;0062924-37.2024.8.25.0001;2024;{12416,10434,7780,12487,10440,14760,12490};;;{QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.,CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{SOCIEDADE ANONIMA FECHADA,COOPERATIVA}
TJSE;0062387-41.2024.8.25.0001;2024;{11811,7780,11974,12487,11864,12489,12490};;;{UNIMED SEGUROS SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJSE;0010930-33.2025.8.25.0001;2025;{9196,12490,8843};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJSE;0027176-41.2024.8.25.0001;2024;{12489,8843,13605,13390};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJSE;0019947-30.2024.8.25.0001;2024;{12488,12416,11811,8843,11974,10671};;;{BRADESCO SAUDE S/A,QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJSE;0011600-08.2024.8.25.0001;2024;{12416,14760,8843,9196};;;{PETROLEO BRASILEIRO S A PETROBRAS};{SOCIEDADE DE ECONOMIA MISTA}
TJSE;0006755-30.2024.8.25.0001;2024;{12416,11811,11974,12503,10938,8843,10671};;;{SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA}
TJSE;sigiloso(630485092);2024;{9196,8843,12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(722616530);2024;{12489,13605};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(707855284);2024;{12489,10437,10434};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(731405417);2025;{12489,12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;0005168-42.2024.8.25.0075;2024;{12508};{SERGIPE MINISTERIO PUBLICO};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{MUNICIPIO DE TOBIAS BARRETO,PROCURADORIA GERAL DO ESTADO};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0005161-50.2024.8.25.0075;2024;{12508};{SERGIPE MINISTERIO PUBLICO};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DE SERGIPE,MUNICIPIO DE TOBIAS BARRETO};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0005941-87.2024.8.25.0075;2024;{12508};{SERGIPE MINISTERIO PUBLICO};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};;
TJSE;0005727-96.2024.8.25.0075;2024;{12489,12494};;;{MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0004421-92.2024.8.25.0075;2024;{12416,12495};;;{ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL}
TJSE;0003353-10.2024.8.25.0075;2024;{12416,12495};;;{ESTADO DE SERGIPE,ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0000808-64.2024.8.25.0075;2024;{12499};;;{SECRETARIA DE ESTADO DA FAZENDA,MUNICIPIO DE TOBIAS BARRETO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0004805-55.2024.8.25.0075;2024;{12416,12495};;;{SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0002150-13.2024.8.25.0075;2024;{12416,9196,10671,12495};;;{MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0003167-84.2024.8.25.0075;2024;{12489,8843};;;{INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0002055-80.2024.8.25.0075;2024;{12416,12489,14025,14925};;;{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJSE;0003384-30.2024.8.25.0075;2024;{12416,12503};;;{ESTADO DE SERGIPE,MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0002468-93.2024.8.25.0075;2024;{12416,8843,9196,12503};;;{MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0000938-20.2025.8.25.0075;2025;{12508,8843,10671};;;{ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL}
TJSE;0000980-06.2024.8.25.0075;2024;{12489,13605};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJSE;0000151-88.2025.8.25.0075;2025;{12416,8843,9196,12494,12487};;;{ESTADO DE SERGIPE,PROCURADORIA GERAL DO ESTADO};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0004434-91.2024.8.25.0075;2024;{12416,12489,12503};;;{ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL}
TJSE;0004848-89.2024.8.25.0075;2024;{12496,12416,9196,12494,10671};;;{ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL}
TJSE;0005326-97.2024.8.25.0075;2024;{12503,12495};;;{ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL}
TJSE;sigiloso(557828334);2024;{12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(708532681);2024;{12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(604461208);2024;{12416,8843,12508,9196};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(719264983);2024;{12416,12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;0004228-77.2024.8.25.0075;2024;{9160,8843,12495,10671};;;{MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0004443-87.2023.8.25.0075;2024;{12416,12495};;;{MUNICIPIO DE TOBIAS BARRETO,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0004229-62.2024.8.25.0075;2024;{9160,13250,8843,12494};;;{ESTADO DE SERGIPE,MUNICIPIO DE TOBIAS BARRETO};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0001702-24.2024.8.25.0048;2024;{12416,12494,8843};;;{MUNICIPIO DE NOSSA SENHORA DA GLORIA};{MUNICIPIO}
TJSE;0005565-85.2024.8.25.0048;2024;{8843,12495};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0005023-67.2024.8.25.0048;2024;{12500,12416,8843};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0002883-60.2024.8.25.0048;2024;{12508,8843};;;{ESTADO DE SERGIPE,ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0002589-08.2024.8.25.0048;2024;{12513,10503,8843};;;{ESTADO DE SERGIPE,ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA};{ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0003502-87.2024.8.25.0048;2024;{12494,10671};;;{MUNICIPIO DE NOSSA SENHORA DA GLORIA,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0004995-02.2024.8.25.0048;2024;{12513,8843};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;0005278-25.2024.8.25.0048;2024;{14760,8843};;;{INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0001780-18.2024.8.25.0048;2024;{12416,12503,8843};;;{MUNICIPIO DE NOSSA SENHORA DA GLORIA,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0001841-73.2024.8.25.0048;2024;{12416,8843,12503};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA,ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0005320-74.2024.8.25.0048;2024;{12503};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSE;sigiloso(678431492);2024;{12418,12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(719257431);2024;{8843,12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(630494969);2024;{12508,8843};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;sigiloso(719257368);2024;{12416,10434,13605,10437,12487,12489,9196};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSE;0000465-18.2025.8.25.0048;2025;{14760};;;{INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE};{AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJSE;0001642-85.2023.8.25.0048;2024;{12508};;;{MUNICIPIO DE NOSSA SENHORA DA GLORIA,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSE;0003154-06.2023.8.25.0048;2024;{12416,12513,12489,8843,12500};;;{MUNICIPIO DE NOSSA SENHORA DA GLORIA};{MUNICIPIO}
TJSE;0001841-73.2024.8.25.0048;2024;{12416,8843,12503};;;{ESTADO DE SERGIPE,MUNICIPIO DE NOSSA SENHORA DA GLORIA,ESTADO DE SERGIPE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJSE;0001443-15.2024.8.25.0085;2024;{9596,10356,12489};;;;
TJSE;0002911-14.2024.8.25.0085;2024;{11864,12489,11811,13605,11974};;;{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJSE;0000368-04.2025.8.25.0085;2025;{12489,13605};;;{BRADESCO SAUDE S/A,CLINICA BOURBON LTDA};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE EMPRESARIA LIMITADA}
TJSE;0001382-57.2024.8.25.0085;2024;{12488,10434,11811};{VIEIRA LEAL SERVICOS DE FISIOTERAPIA LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA}
TJSE;0006113-96.2024.8.25.0085;2024;{12487,11811};;;{UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVICOS MEDICOS};{COOPERATIVA}
TJSE;0002871-32.2024.8.25.0085;2024;{12489,13390};;;{BRADESCO SEGUROS S/A,BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE ANONIMA FECHADA}
TJSE;0001646-74.2024.8.25.0085;2024;{12488};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJSE;0003672-45.2024.8.25.0085;2024;{12489};;;{UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO,REDE PRIMAVERA - ASSISTENCIA MEDICA HOSPITALAR LTDA};{COOPERATIVA,SOCIEDADE EMPRESARIA LIMITADA}
TJSE;0004101-12.2024.8.25.0085;2024;{10440,12489,10434,11811,7780,10437};;;{UNIMED SEGUROS SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
