Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJAC;0700388-09.2024.8.01.0003;2024;{8961,12500,12502,12503};;;{ESTADO DO ACRE};{ESTADO OU DISTRITO FEDERAL}
TJAC;0701085-30.2024.8.01.0003;2024;{12508,8961,10671};;;{SECRETARIA DE ESTADO DA FAZENDA - SEFAZ,MUNICIPIO DE BRASILEIA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJAC;0700313-67.2024.8.01.0003;2024;{8961,12487};;;{SECRETARIA DE ESTADO DA FAZENDA - SEFAZ};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJAC;0700342-20.2024.8.01.0003;2024;{8961,12487};;;{ESTADO DO ACRE};{ESTADO OU DISTRITO FEDERAL}
TJAC;sigiloso(631624837);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAC;sigiloso(707882194);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAC;0700048-25.2024.8.01.0081;2024;{12489};;;{UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO LTDA,UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED};{COOPERATIVA,COOPERATIVA,COOPERATIVA}
TJAC;0800095-07.2024.8.01.0081;2024;{12500};{MINISTERIO PUBLICO DO ESTADO DO ACRE};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};{FUNDACAO HOSPITAL ESTADUAL DO ACRE,SECRETARIA DE ESTADO DE SAUDE};{FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJAC;sigiloso(583337781);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAC;0700127-09.2021.8.01.0081;2024;{12489};;;{MUNICIPIO DE RIO BRANCO,SECRETARIA DE ESTADO DA FAZENDA - SEFAZ};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJAC;0700113-25.2021.8.01.0081;2024;{12491};;;{SECRETARIA DE ESTADO DA FAZENDA - SEFAZ,FUNDACAO HOSPITAL ESTADUAL DO ACRE};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL}
TJAC;0707347-02.2024.8.01.0001;2024;{12491};;;{SECRETARIA DE ESTADO DA FAZENDA - SEFAZ,MUNICIPIO DE RIO BRANCO};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
