Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJAM;0600141-31.2024.8.04.7700;2024;{12494};;;{MUNICIPIO DE UARINI,ESTADO DO AMAZONAS};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJAM;0600609-08.2024.8.04.5400;2024;{12490};;;;
TJAM;0603006-83.2024.8.04.6000;2024;{12508};{PROCURADORIA GERAL DE JUSTICA DO ESTADO DO AMAZONAS};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};;
TJAM;0602719-23.2024.8.04.6000;2024;{12508};;;{ESTADO DO AMAZONAS,MUNICIPIO DE NOVA OLINDA DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJAM;0602899-39.2024.8.04.6000;2024;{12503};;;{A FAZENDA PUBLICA DO ESTADO DO AMAZONAS,SECRETARIA DE ESTADO DA FAZENDA SEFAZ,MUNICIPIO DE NOVA OLINDA DO NORTE};{ND,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO}
TJAM;0601436-62.2024.8.04.6000;2024;{12509};;;{ESTADO DO AMAZONAS,MUNICIPIO DE NOVA OLINDA DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJAM;0602904-61.2024.8.04.6000;2024;{12490};;;{AMAZONAS ENERGIA S.A};{SOCIEDADE ANONIMA FECHADA}
TJAM;0600602-82.2024.8.04.7900;2024;{12506};{PROCURADORIA GERAL DE JUSTICA DO ESTADO DO AMAZONAS};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO AMAZONAS,MUNICIPIO DE AMATURA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJAM;sigiloso(672164668);2024;{12488};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(639481775);2024;{12520};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;0021021-80.2025.8.04.1000;2025;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0071439-56.2024.8.04.1000;2024;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0050749-06.2024.8.04.1000;2024;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0082101-79.2024.8.04.1000;2024;{12500};;;{ESTADO DO AMAZONAS,SECRETARIA DE ESTADO DA SAUDE - SUSAM};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJAM;0074842-33.2024.8.04.1000;2024;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0050740-44.2024.8.04.1000;2024;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0080459-71.2024.8.04.1000;2024;{12500};;;{SECRETARIA DE ESTADO DA SAUDE - SUSAM,ESTADO DO AMAZONAS};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJAM;0072557-67.2024.8.04.1000;2024;{12487};;;{FUNDACAO CENTRO DE CONTROLE DE ONCOLOGIA,ESTADO DO AMAZONAS};{FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJAM;0084024-43.2024.8.04.1000;2024;{12500};;;{FUNDACAO HOSPITALAR DE HEMATOLOGIA E HEMOTERAPIA DO AMAZONAS};{FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL}
TJAM;0125683-32.2024.8.04.1000;2024;{12496};;;{ESTADO DO AMAZONAS,FUNDACAO HOSPITALAR DE HEMATOLOGIA E HEMOTERAPIA DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL,FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL}
TJAM;0095576-05.2024.8.04.1000;2024;{12516};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0097982-96.2024.8.04.1000;2024;{12499};;;{ESTADO DO AMAZONAS,MUNICIPIO DE MANAUS};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJAM;0101284-36.2024.8.04.1000;2024;{12520};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0020218-97.2025.8.04.1000;2025;{12518};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0029698-02.2025.8.04.1000;2025;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0056148-79.2025.8.04.1000;2025;{12500};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0089383-71.2024.8.04.1000;2024;{12489};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0111278-88.2024.8.04.1000;2024;{12496};;;{FUNDACAO CENTRO DE CONTROLE DE ONCOLOGIA,ESTADO DO AMAZONAS};{FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJAM;0107611-94.2024.8.04.1000;2024;{12498,9995};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0009841-67.2025.8.04.1000;2025;{12489};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0423402-20.2024.8.04.0001;2024;{12489};;;{SAMEL SERVICOS DE ASSISTENCIA MEDICO HOSPITALAR LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJAM;sigiloso(605437790);2024;{12499};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631660251);2024;{12490};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631661793);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631661820);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631662263);2024;{12502};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631773991);2024;{12502};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631776841);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631801384);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(715835539);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(715841477);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(715841641);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(635335462);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(672157898);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(672173388);2024;{12502};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(605370058);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(605442061);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(605474077);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(631773263);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(635291381);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(639420359);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(672173369);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(672169829);2024;{12500};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(639439481);2024;{12502};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(605394629);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(605425193);2024;{10440,12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;0757035-85.2020.8.04.0001;2024;{12503};;;{ESTADO DO AMAZONAS};{ESTADO OU DISTRITO FEDERAL}
TJAM;0693357-62.2021.8.04.0001;2024;{12489};;;{FEDERACAO DAS UNIMEDS DA AMAZONIA - FEDERACAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO DO ACRE  AMAPA  AMAZONAS  PARA  RONDONIA E RORAIMA};{COOPERATIVA}
TJAM;sigiloso(715837979);2024;{12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;sigiloso(635335280);2024;{12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAM;0028831-09.2025.8.04.1000;2025;{12487};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJAM;0043668-69.2025.8.04.1000;2025;{12489};;;{BLUE STAR ASSISTENCIA MEDICA LTDA};{SOCIEDADE SIMPLES LIMITADA}
TJAM;0050145-11.2025.8.04.1000;2025;{12489};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJAM;0013513-83.2025.8.04.1000;2025;{12489};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{SOCIEDADE ANONIMA FECHADA}
TJAM;0026936-13.2025.8.04.1000;2025;{7780,12488,6007};{FLORENCA COMERCIO E REPRESENTACOES LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
