Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJAP;6001420-13.2024.8.03.0009;2024;{14759};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6002942-75.2024.8.03.0009;2024;{12489,11811};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJAP;6000631-35.2024.8.03.0002;2024;{12511};{MINISTERIO PUBLICO DO ESTADO DO AMAPA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6007588-52.2024.8.03.0002;2024;{12491};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6008883-27.2024.8.03.0002;2024;{12503};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6001438-55.2024.8.03.0002;2024;{12489};;;{AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.};{SOCIEDADE ANONIMA FECHADA}
TJAP;6000423-51.2024.8.03.0002;2024;{12485};{MINISTERIO PUBLICO DO ESTADO DO AMAPA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL};{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6006058-13.2024.8.03.0002;2024;{12486};;;{GEAP AUTOGESTAO EM SAUDE};{FUNDACAO PRIVADA}
TJAP;0012093-94.2024.8.03.0001;2024;{12500};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6006558-79.2024.8.03.0002;2024;{12501,12503};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;sigiloso(606382492);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;sigiloso(606714880);2024;{12484};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;sigiloso(606716463);2024;{12509,12510};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;sigiloso(606831821);2024;{12501};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;sigiloso(713656928);2024;{12486,12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;sigiloso(689582738);2024;{12486};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJAP;0008034-31.2022.8.03.0002;2024;{12487};;;{UNIMED MACAPA COOPERATIVA DE TRABALHO MEDICO LTDA EM LIQUIDACAO EXTRAJUDICIAL};{COOPERATIVA}
TJAP;6050524-95.2024.8.03.0001;2024;{12505,12506,12483,12501};;;{GEAP AUTOGESTAO EM SAUDE,SOCIEDADE BENEFICENTE SAO CAMILO,ESTADO DO AMAPA,SECRETARIA DE ESTADO DA SAUDE};{FUNDACAO PRIVADA,ASSOCIACAO PRIVADA,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJAP;6064458-23.2024.8.03.0001;2024;{12489,12490,10439};;;{GEAP AUTOGESTAO EM SAUDE};{FUNDACAO PRIVADA}
TJAP;6002967-78.2025.8.03.0001;2025;{12489};;;{BENEFICENCIA CAMILIANA DO SUL};{ASSOCIACAO PRIVADA}
TJAP;6001773-43.2025.8.03.0001;2025;{12489};;;{UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED};{COOPERATIVA}
TJAP;6000204-41.2024.8.03.0001;2024;{12501};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6000069-29.2024.8.03.0001;2024;{12494};;;{ESTADO DO AMAPA};{ESTADO OU DISTRITO FEDERAL}
TJAP;6042175-06.2024.8.03.0001;2024;{12489,7775};;;{SUL AMERICA COMPANHIA DE SEGURO SAUDE,EXTRAMED ADMINISTRACAO E SERVICOS MEDICOS LTDA};{SOCIEDADE ANONIMA FECHADA,SOCIEDADE EMPRESARIA LIMITADA}
