Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJPA;0803076-05.2025.8.14.0051;2025;{14690,12495};;;{ESTADO DO PARA};{ESTADO OU DISTRITO FEDERAL}
TJPA;0867050-76.2024.8.14.0301;2024;{10440,10434,12490,12486};;;;
TJPA;0838465-14.2024.8.14.0301;2024;{12486,10671};;;{BENEFICENCIA NIPO BRASILEIRA DA AMAZONIA};{ASSOCIACAO PRIVADA}
TJPA;0818609-64.2024.8.14.0301;2024;{12487,10671};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0816030-12.2025.8.14.0301;2025;{12489,10434};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJPA;0858784-03.2024.8.14.0301;2024;{12486};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0828353-83.2024.8.14.0301;2024;{12489,7779};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO,UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO LTDA};{COOPERATIVA,COOPERATIVA}
TJPA;0853533-04.2024.8.14.0301;2024;{12487};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0800548-58.2024.8.14.0301;2024;{12486,12487};;;{UNIMED LAGES - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DO PLANALTO SERRANO,UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA,COOPERATIVA}
TJPA;0829712-68.2024.8.14.0301;2024;{12489,7779};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0849796-90.2024.8.14.0301;2024;{8961,12490,10671};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0833199-46.2024.8.14.0301;2024;{8961,12490};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0884078-57.2024.8.14.0301;2024;{12489};;;{UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPA;0801865-91.2024.8.14.0301;2024;{12490,7779};;;{SUL AMERICA COMPANHIA DE SEGURO SAUDE};{SOCIEDADE ANONIMA FECHADA}
TJPA;0900928-89.2024.8.14.0301;2024;{12489};;;{HAPVIDA ASSISTENCIA MEDICA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJPA;0893655-59.2024.8.14.0301;2024;{9596,7775,12487};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL};{COOPERATIVA,SOCIEDADE ANONIMA FECHADA}
TJPA;0817270-70.2024.8.14.0301;2024;{10296,12506,10671};;;{ESTADO DO PARA,MUNICIPIO DE BELEM};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPA;sigiloso(646086817);2024;{12484,7775};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPA;0844553-73.2021.8.14.0301;2024;{12489};;;{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJPA;0800351-69.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{SECRETARIA DE ESTADO DE SAUDE PUBLICA,ESTADO DO PARA,MUNICIPIO DE JURUTI};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPA;0800366-38.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{SECRETARIA DE ESTADO DE SAUDE PUBLICA,MUNICIPIO DE JURUTI,ESTADO DO PARA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPA;0800049-40.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{ESTADO DO PARA,MUNICIPIO DE JURUTI};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPA;0800350-84.2024.8.14.0086;2024;{12506,12483,9196,10671};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE JURUTI,SECRETARIA DE ESTADO DE SAUDE PUBLICA,ESTADO DO PARA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJPA;0800367-23.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{SECRETARIA DE ESTADO DE SAUDE PUBLICA,MUNICIPIO DE JURUTI,ESTADO DO PARA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPA;0800365-53.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE JURUTI,SECRETARIA DE ESTADO DE SAUDE PUBLICA,ESTADO DO PARA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJPA;0800453-91.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE JURUTI,ESTADO DO PARA,SECRETARIA DE ESTADO DE SAUDE PUBLICA};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJPA;0800079-75.2024.8.14.0086;2024;{12501};{MUNICIPIO DE JURUTI,PARA MINISTERIO PUBLICO,ESTADO DO PARA};{MUNICIPIO,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ESTADO OU DISTRITO FEDERAL};{MUNICIPIO DE JURUTI,PARA MINISTERIO PUBLICO,ESTADO DO PARA};{MUNICIPIO,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ESTADO OU DISTRITO FEDERAL}
TJPA;0800417-49.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE JURUTI};{MUNICIPIO}
TJPA;0800144-70.2024.8.14.0086;2024;{12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{MUNICIPIO DE JURUTI,ESTADO DO PARA};{MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
TJPA;0800832-32.2024.8.14.0086;2024;{12506,12483};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};;
TJPA;0800884-28.2024.8.14.0086;2024;{12508};{PARA MINISTERIO PUBLICO};{ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL};{ESTADO DO PARA};{ESTADO OU DISTRITO FEDERAL}
