Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJRO;7008899-70.2023.8.22.0001;2024;{12488,7698};;;{AMERON ASSISTENCIA MEDICA E ODONTOLOGICA RONDONIA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJRO;0814036-88.2024.8.22.0000;2024;{12500,10440,12486};{UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED};{COOPERATIVA};;
TJRO;0801069-74.2025.8.22.0000;2025;{12486};;;{UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED};{COOPERATIVA}
TJRO;0815050-10.2024.8.22.0000;2024;{12489};{UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJRO;0806406-78.2024.8.22.0000;2024;{9196,12486};{SUL AMERICA SERVICOS DE SAUDE S/A};{SOCIEDADE ANONIMA FECHADA};;
TJRO;0801330-39.2025.8.22.0000;2025;{12488,12489};;;{AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA,UNIAO RONDONIENSE DOS ESTUDANTES SECUNDARISTAS};{SOCIEDADE EMPRESARIA LIMITADA,ENTIDADE SINDICAL}
TJRO;0801519-17.2025.8.22.0000;2025;{12489};{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA};;
TJRO;7018222-65.2024.8.22.0001;2024;{12488,7775};;;{AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA,ASSOCIACAO DE ASSISTENCIA A SAUDE DOS TRABALHADORES NO COMERCIO ATACADISTA  VAREJISTA E DISTRIBUIDORES DA AMAZONIA};{SOCIEDADE EMPRESARIA LIMITADA,ASSOCIACAO PRIVADA}
TJRO;7019404-86.2024.8.22.0001;2024;{12489,10434};{UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA};{COOPERATIVA};;
TJRO;0814770-39.2024.8.22.0000;2024;{12489,12486};{UNIMED REGIONAL MARINGA - COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJRO;7076144-98.2023.8.22.0001;2024;{12488,7770};;;{AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJRO;7076113-78.2023.8.22.0001;2025;{12488,7770};{AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA};{SOCIEDADE EMPRESARIA LIMITADA};;
TJRO;7086472-24.2022.8.22.0001;2024;{12490};{UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA};{COOPERATIVA};;
TJRO;0800104-96.2025.8.22.0000;2025;{10434,12486,11811};;;{AMERON ASSISTENCIA MEDICA E ODONTOLOGICA RONDONIA S.A.};{SOCIEDADE ANONIMA FECHADA}
TJRO;0801604-03.2025.8.22.0000;2025;{12489};;;{CAIXA DE ASSISTENCIA DO SETOR DE ENERGIA};{ASSOCIACAO PRIVADA}
TJRO;7005284-12.2023.8.22.0021;2024;{11811,10437,6007,12503};;;{BANCO BRADESCO S.A.};{SOCIEDADE ANONIMA ABERTA}
TJRO;7072472-82.2023.8.22.0001;2024;{10456,12506,7619,7775};{UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA};{COOPERATIVA};;
TJRO;0811425-65.2024.8.22.0000;2024;{13149,12486};{BRADESCO SAUDE S/A};{SOCIEDADE ANONIMA FECHADA};;
TJRO;0805355-32.2024.8.22.0000;2024;{12416,10671,12487};;;{UNIMED CENTRO RONDONIA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJRO;7056016-57.2023.8.22.0001;2024;{7780,12489,10437};{UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA};{COOPERATIVA};;
TJRO;7088737-96.2022.8.22.0001;2024;{12488,11974};;;{PLURAL GESTAO EM PLANOS DE SAUDE LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
