Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJTO;0002541-03.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001219-45.2024.8.27.2729;2024;{12490};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001216-90.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002317-65.2024.8.27.2729;2024;{12488};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001222-97.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001223-82.2024.8.27.2729;2024;{12488};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002536-78.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002532-41.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002725-56.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001218-60.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0001206-46.2024.8.27.2729;2024;{12490};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002539-33.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002718-64.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002729-93.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0002728-11.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0007006-55.2024.8.27.2729;2024;{12487};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0007011-77.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0007015-17.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0009206-35.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0009211-57.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
TJTO;0009213-27.2024.8.27.2729;2024;{12489};{UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA};;
