Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJES;5000177-30.2024.8.08.0068;2024;{12491};;;{MUNICIPIO DE AGUA DOCE DO NORTE,SECRETARIA DE ESTADO DA SAUDE,SECRETARIA DE ESTADO DA JUSTICA,SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS,CASA DE CUSTODIA DE VIANA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000091-59.2024.8.08.0068;2024;{12508};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000041-33.2024.8.08.0068;2024;{12483};;;{ESTADO DO ESPIRITO SANTO};{ESTADO OU DISTRITO FEDERAL}
TJES;5000421-56.2024.8.08.0068;2024;{12483};;;{ESTADO DO ESPIRITO SANTO};{ESTADO OU DISTRITO FEDERAL}
TJES;5000469-15.2024.8.08.0068;2024;{12508};;;{MUNICIPIO DE AGUA DOCE DO NORTE,SECRETARIA DE ESTADO DA SAUDE,SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS,CASA DE CUSTODIA DE VIANA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000587-88.2024.8.08.0068;2024;{12491};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000636-32.2024.8.08.0068;2024;{12508};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000635-47.2024.8.08.0068;2024;{12508};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000637-17.2024.8.08.0068;2024;{12508};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000646-76.2024.8.08.0068;2024;{12508};;;{MUNICIPIO DE AGUA DOCE DO NORTE,CASA DE CUSTODIA DE VIANA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000047-06.2025.8.08.0068;2025;{12508};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000046-21.2025.8.08.0068;2025;{12483};;;{CASA DE CUSTODIA DE VIANA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000101-69.2025.8.08.0068;2025;{12491};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUA DOCE DO NORTE};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000702-12.2024.8.08.0068;2024;{12484,12495};;;{ESTADO DO ESPIRITO SANTO,SECRETARIA DE ESTADO DE SAUDE DO ESTADO DO ESPIRITO SANTO};{ESTADO OU DISTRITO FEDERAL,ND}
TJES;sigiloso(620409980);2024;{12491};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(670199308);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(670203551);2024;{12491};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(681443160);2024;{12494};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(703359931);2024;{12491};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(714847475);2024;{12491};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(714851528);2024;{12491};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(681458474);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;5000217-12.2024.8.08.0068;2024;{12484,10671};;;{MUNICIPIO DE AGUA DOCE DO NORTE};{MUNICIPIO}
TJES;5000292-51.2024.8.08.0068;2024;{12500,12485};;;{MUNICIPIO DE AGUA DOCE DO NORTE,SECRETARIA DE ESTADO DA SAUDE,SECRETARIA DE ESTADO DA CULTURA,CASA DE CUSTODIA DE VIANA};{MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000308-38.2024.8.08.0057;2024;{12491};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUIA BRANCA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000920-73.2024.8.08.0057;2024;{12489};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUIA BRANCA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000591-61.2024.8.08.0057;2024;{12495};;;{ESTADO DO ESPIRITO SANTO,MUNICIPIO DE AGUIA BRANCA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJES;5000977-91.2024.8.08.0057;2024;{10440,12489,12490,12486};;;{UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJES;5000505-90.2024.8.08.0057;2024;{7780,12486,7779};;;{SAMP ESPIRITO SANTO ASSISTENCIA MEDICA LTDA};{SOCIEDADE ANONIMA FECHADA}
TJES;5000670-40.2024.8.08.0057;2024;{12489};;;{SAMP ESPIRITO SANTO ASSISTENCIA MEDICA LTDA};{SOCIEDADE ANONIMA FECHADA}
TJES;sigiloso(701240105);2024;{12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(716886709);2024;{12484};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(701240262);2024;{12503};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;sigiloso(730344544);2025;{12521};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;0000230-08.2019.8.08.0057;2024;{12489,10434};;;{UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO,BENEVIX ADMINISTRADORA DE BENEFICIOS LTDA,CAIXA DE ASSISTENCIA DOS TRABALHADORES E SERVIDORES PUBLICOS E DE EMPRESAS DE CONTROLE ESTATAL};{COOPERATIVA,SOCIEDADE EMPRESARIA LIMITADA,ASSOCIACAO PRIVADA}
TJES;sigiloso(670205073);2024;{12508};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJES;5001266-89.2024.8.08.0003;2024;{12483};;;{CASA DE CUSTODIA DE VIANA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJES;5000122-80.2024.8.08.0003;2024;{12487};;;{UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJES;0000004-92.2024.8.08.0003;2024;{12483};;;{SECRETARIA DE ESTADO DA JUSTICA,SECRETARIA DE ESTADO DA CULTURA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
