Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJSP;1001443-31.2022.8.26.0411;2024;{12496};;;{ESTADO DE SAO PAULO,MUNICIPIO DE PACAEMBU};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;1002120-49.2022.8.26.0415;2025;{12484};;;{ESTADO DE SAO PAULO,MUNICIPIO DE IBIRAREMA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;0000552-79.2022.8.26.0426;2024;{12484};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;0000333-66.2022.8.26.0426;2024;{12484};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;1000034-72.2022.8.26.0426;2024;{12487};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;1000317-32.2021.8.26.0426;2024;{12489};;;{SAO FRANCISCO SISTEMAS DE SAUDE SOCIEDADE EMPRESARIA LIMITADA};{SOCIEDADE EMPRESARIA LIMITADA}
TJSP;1000719-26.2020.8.26.0434;2024;{12494};;;{MUNICIPIO DE ORLANDIA,SECRETARIA DE ESTADO DA SAUDE DO GOVERNO DO ESTADO DE SAO PAULO};{MUNICIPIO,ND}
TJSP;1001468-06.2021.8.26.0435;2024;{8961,12495};;;{ESTADO DE SAO PAULO,MUNICIPIO DE PEDREIRA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;0000933-94.2021.8.26.0435;2024;{12509,8961};;;{MUNICIPIO DE PEDREIRA};{MUNICIPIO}
TJSP;0000861-10.2021.8.26.0435;2024;{12500,8961};;;{ESTADO DE SAO PAULO,MUNICIPIO DE PEDREIRA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;0004807-78.2021.8.26.0438;2024;{12496};;;{MUNICIPIO DE PENAPOLIS};{MUNICIPIO}
TJSP;0000414-13.2021.8.26.0438;2024;{12484};;;{MUNICIPIO DE PENAPOLIS};{MUNICIPIO}
TJSP;0003648-03.2021.8.26.0438;2025;{12495};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;sigiloso(335293089);2025;{12484};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSP;0001602-96.2021.8.26.0452;2024;{12500};;;{MUNICIPIO DE PIRAJU};{MUNICIPIO}
TJSP;1001817-59.2020.8.26.0462;2024;{12489};;;{NOTRE DAME INTERMEDICA SAUDE S.A.};{SOCIEDADE ANONIMA FECHADA}
TJSP;sigiloso(335532983);2024;{12495};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSP;1002483-62.2022.8.26.0471;2024;{12502};;;{PREFEITURA DE PORTO FELIZ};{ND}
TJSP;1000117-91.2020.8.26.0480;2024;{12494};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;1010882-47.2022.8.26.0482;2024;{12489,11811};;;{UNIMED DO ESTADO DE SAO PAULO - FEDERACAO ESTADUAL DAS COOPERATIVAS MEDICAS};{COOPERATIVA}
TJSP;1001213-36.2023.8.26.0481;2024;{12487};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;1024048-20.2020.8.26.0482;2024;{12496};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;0000148-40.2021.8.26.0498;2024;{12485};;;{ESTADO DE SAO PAULO,MUNICIPIO DE BOA ESPERANCA DO SUL};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;sigiloso(333985378);2024;{12487};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSP;1000618-62.2023.8.26.0505;2024;{12487};;;{MUNICIPIO DE RIBEIRAO PIRES,SECRETARIA DE SAUDE E HIGIENE DO MUNICIPIO DE RIBEIRAO PIRES};{MUNICIPIO,ND}
TJSP;1001541-25.2022.8.26.0505;2024;{12489};;;{CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL};{COOPERATIVA}
TJSP;1003445-17.2021.8.26.0505;2024;{12487};;;{ESTADO DE SAO PAULO,MUNICIPIO DE RIBEIRAO PIRES};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;0000813-35.2021.8.26.0505;2024;{8961,12499};;;{ESTADO DE SAO PAULO,MUNICIPIO DE RIBEIRAO PIRES};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSP;1041927-31.2021.8.26.0506;2024;{12488};;;{CCG - EMPREENDIMENTOS IMOBILIARIOS LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJSP;1000587-32.2020.8.26.0510;2024;{12489,11811};;;{UNIMED DO ESTADO DE SAO PAULO - FEDERACAO ESTADUAL DAS COOPERATIVAS MEDICAS,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO};{COOPERATIVA,AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL}
TJSP;1001076-83.2022.8.26.0515;2024;{12500};;;{MUNICIPIO DE ROSANA};{MUNICIPIO}
TJSP;sigiloso(334689163);2024;{12484};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJSP;1000590-20.2022.8.26.0541;2024;{12496};;;{ESTADO DE SAO PAULO};{ESTADO OU DISTRITO FEDERAL}
TJSP;sigiloso(335445998);2024;{12484};Sigiloso;Sigiloso;Sigiloso;Sigiloso
