Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJPR;0003522-16.2024.8.16.0182;2024;{12489};;;{SUL AMERICA SERVICOS DE SAUDE S/A};{SOCIEDADE ANONIMA FECHADA}
TJPR;0011364-47.2024.8.16.0182;2024;{12489,11974};;;{UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS};{COOPERATIVA}
TJPR;0013716-75.2024.8.16.0182;2024;{12487};;;{UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS};{COOPERATIVA}
TJPR;sigiloso(657606888);2024;{12489};Sigiloso;Sigiloso;Sigiloso;Sigiloso
TJPR;0017443-42.2024.8.16.0182;2024;{12489};;;{UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS};{COOPERATIVA}
TJPR;0004199-02.2024.8.16.0035;2024;{12520};;;{UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS};{COOPERATIVA}
TJPR;0018299-93.2023.8.16.0035;2024;{12489};;;{CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA};{SOCIEDADE EMPRESARIA LIMITADA}
TJPR;0014768-07.2024.8.16.0021;2024;{12487};;;{ESTADO DO PARANA,MUNICIPIO DE CASCAVEL};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPR;0013958-05.2024.8.16.0030;2024;{12489};;;{UNIMED DE FOZ DO IGUACU COOPERATIVA DE TRABALHO MEDICO};{COOPERATIVA}
TJPR;0002444-55.2024.8.16.0030;2024;{12489};;;{MUNICIPIO DE FOZ DO IGUACU};{MUNICIPIO}
TJPR;0020550-02.2023.8.16.0030;2024;{12501};;;{ESTADO DO PARANA,MUNICIPIO DE FOZ DO IGUACU};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJPR;0010639-29.2024.8.16.0030;2024;{12500};;;{MUNICIPIO DE FOZ DO IGUACU};{MUNICIPIO}
