Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TJSC;0900493-69.2015.8.24.0005;2024;{12494};{ESTADO DE SANTA CATARINA};{ESTADO OU DISTRITO FEDERAL};{MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL}
TJSC;5000976-89.2019.8.24.0040;2024;{12501};;;{ESTADO DE SANTA CATARINA,SECRETARIA DE ESTADO DA SAUDE};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TJSC;0308197-35.2016.8.24.0075;2024;{12485};{ADVOCACIA GERAL DA UNIAO,ESTADO DE SANTA CATARINA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};;
TJSC;0900253-46.2016.8.24.0005;2024;{12495};{ESTADO DE SANTA CATARINA};{ESTADO OU DISTRITO FEDERAL};{MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL}
TJSC;5000206-88.2019.8.24.0075;2024;{12491};{ESTADO DE SANTA CATARINA,MUNICIPIO DE TUBARAO};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO};{ADVOCACIA GERAL DA UNIAO,ESTADO DE SANTA CATARINA,MUNICIPIO DE TUBARAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TJSC;5001809-87.2019.8.24.0079;2024;{11847,12495};{MUNICIPIO DE VIDEIRA};{MUNICIPIO};;
TJSC;0900363-33.2014.8.24.0064;2024;{12495};{ESTADO DE SANTA CATARINA};{ESTADO OU DISTRITO FEDERAL};{MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL}
TJSC;0905360-36.2017.8.24.0167;2024;{12495};{ADVOCACIA GERAL DA UNIAO,MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA,ESTADO DE SANTA CATARINA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL};{MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA,ESTADO DE SANTA CATARINA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TJSC;0300812-46.2018.8.24.0049;2024;{12492};{ESTADO DE SANTA CATARINA};{ESTADO OU DISTRITO FEDERAL};;
TJSC;0900068-23.2015.8.24.0076;2025;{12495};{ESTADO DE SANTA CATARINA,MUNICIPIO DE TIMBE DO SUL};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO};{MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA};{ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL}
