Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF1;1013147-61.2022.4.01.4100;2024;{12503};;;{MINISTERIO DA FAZENDA,PRESIDENCIA DA REPUBLICA,ESTADO DE RONDONIA,MUNICIPIO DE PORTO VELHO,SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF1;1003657-29.2023.4.01.3502;2024;{12503};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,ESTADO DE GOIAS,MUNICIPIO DE ANAPOLIS,SECRETARIA DE ESTADO DA SAUDE,TAB.DE NOTAS  PROT. DE TITULOS REG. DE IMOVEIS  REG. DE TIT. E DOC.REG.CIVIL DE PESSOAS JURIDICAS E CIVIL PESSOAS N};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,SERVICO NOTARIAL E REGISTRAL (CARTORIO)}
TRF1;1009603-22.2022.4.01.3500;2024;{12494};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,MUNICIPIO DE GOIANIA,ESTADO DE GOIAS,SECRETARIA MUNICIPAL DE SAUDE,TAB.DE NOTAS  PROT. DE TITULOS REG. DE IMOVEIS  REG. DE TIT. E DOC.REG.CIVIL DE PESSOAS JURIDICAS E CIVIL PESSOAS N,SECRETARIA MUNICIPAL DE ESPORTE E LAZER};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,SERVICO NOTARIAL E REGISTRAL (CARTORIO),ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL}
TRF1;1003117-69.2019.4.01.4100;2024;{12487};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,ESTADO DE RONDONIA,MUNICIPIO DE PORTO VELHO,SECRETARIA DE ESTADO DE JUSTICA - SEJUS,SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF1;0007073-71.2009.4.01.4000;2024;{11884,12494,11883};;;{MINISTERIO DA FAZENDA,ESTADO DE PERNAMBUCO,PRESIDENCIA DA REPUBLICA,ESTADO DO PIAUI,MUNICIPIO DE TERESINA,HOSPITAL SAO MARCOS,POLICIA CIVIL DE PERNAMBUCO,COORDENADORIA DE CONVIVENCIA COM O SEMI-ARIDO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ASSOCIACAO PRIVADA,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF1;0029889-42.2011.4.01.3300;2024;{13385,11883,12494,12487};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,ESTADO DA BAHIA,BAHIA TRIBUNAL DE JUSTICA,PRESIDENCIA DA REPUBLICA,MUNICIPIO DE SALVADOR,SUPERINTENDENCIA DE CONTROLE E ORDENAMENTO DO USO DO SOLO DO MUNICIPIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL}
TRF1;1037336-40.2020.4.01.3400;2024;{12514,10430};{IRMANDADE DA SANTA CASA DE MISERICORDIA DE CURITIBA};{ASSOCIACAO PRIVADA};{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1001853-12.2021.4.01.3400;2024;{10392,12514};{HOSPITAL PHILADELFIA LTDA};{SOCIEDADE EMPRESARIA LIMITADA};{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1034144-65.2021.4.01.3400;2024;{12512,10430,12514};{MAYA  PADILHA E DUARTE PINTO ADVOGADOS ASSOCIADOS,CHAMA  -  COMPLEXO HOSPITALAR MANOEL ANDRE LTDA};{SOCIEDADE SIMPLES PURA,SOCIEDADE EMPRESARIA LIMITADA};{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1000790-04.2020.4.01.3200;2025;{12487};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,MUNICIPIO DE MANAUS,ESTADO DO AMAZONAS,PRESIDENCIA DA REPUBLICA,SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEMINF};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL}
TRF1;1003055-35.2023.4.01.3600;2025;{12495};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,ESTADO DE MATO GROSSO,MUNICIPIO DE SAPEZAL,FORUM DA COMARCA DE LUCAS DO RIO VERDE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL}
TRF1;1005254-82.2023.4.01.4100;2024;{12495};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,ESTADO DE RONDONIA,ASSEMBLEIA LEGISLATIVA DO ESTADO DE RONDONIA,SECRETARIA DE ESTADO DE JUSTICA - SEJUS,SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP,1 BATALHAO DE ENGENHARIA DE CONSTRUCAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1001775-81.2023.4.01.4100;2024;{12495};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,ESTADO DE RONDONIA,SECRETARIA DE ESTADO DE JUSTICA - SEJUS,SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF1;1016986-48.2022.4.01.3307;2024;{12494};;;{MINISTERIO DA FAZENDA,ESTADO DA BAHIA,BAHIA TRIBUNAL DE JUSTICA,PRESIDENCIA DA REPUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1000946-07.2021.4.01.3313;2024;{12501};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,ESTADO DA BAHIA,BAHIA TRIBUNAL DE JUSTICA,PRESIDENCIA DA REPUBLICA,MUNICIPIO DE TEIXEIRA DE FREITAS,CAMARA MUNICIPAL DE TEIXEIRA DE FREITAS};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL}
TRF1;1086494-05.2022.4.01.3300;2024;{12494};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,ESTADO DA BAHIA,BAHIA TRIBUNAL DE JUSTICA,PRESIDENCIA DA REPUBLICA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF1;1076307-35.2022.4.01.3300;2025;{13385,12494,12487};;;{MINISTERIO DA FAZENDA,COMANDO DO EXERCITO,PRESIDENCIA DA REPUBLICA,PROGRAMA DE AUTOGESTAO EM SAUDE DO TRIBUNAL REGIONAL DO TRABALHO DA 5 REGIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER JUDICIARIO FEDERAL}
TRF1;0014073-92.2013.4.01.3900;2024;{11883,12487};;;{MINISTERIO DA FAZENDA,PRESIDENCIA DA REPUBLICA,MUNICIPIO DE BELEM};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO}
TRF1;0074415-12.2016.4.01.3400;2025;{12493};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{DISTRITO FEDERAL,MINISTERIO DA FAZENDA,PRESIDENCIA DA REPUBLICA};{ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
