Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF5;0804812-92.2024.4.05.8000;2024;{12487};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0803408-06.2024.4.05.8000;2024;{12496};;;{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF5;0800438-96.2025.4.05.8000;2025;{12488,12489};;;{CAIXA ECONOMICA FEDERAL};{EMPRESA PUBLICA}
TRF5;0807965-36.2024.4.05.8000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF5;0808737-96.2024.4.05.8000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO}
TRF5;0809119-89.2024.4.05.8000;2024;{9524,9196,12494};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0808292-78.2024.4.05.8000;2024;{12503};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE RIO LARGO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0807856-22.2024.4.05.8000;2024;{12496,12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0803996-13.2024.4.05.8000;2024;{12494};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0802731-73.2024.4.05.8000;2024;{12495};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0802320-30.2024.4.05.8000;2024;{12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,EMPRESA PUBLICA,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0800710-27.2024.4.05.8000;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO,HOSPITAL UNIVERSITARIO ALBERTO ANTUNES};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,EMPRESA PUBLICA,ESTADO OU DISTRITO FEDERAL,MUNICIPIO,ND}
TRF5;0802126-30.2024.4.05.8000;2024;{12496,12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0807505-49.2024.4.05.8000;2024;{12494};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,EMPRESA PUBLICA,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0802942-12.2024.4.05.8000;2024;{12496,12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,EMPRESA PUBLICA,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0804150-31.2024.4.05.8000;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0804527-02.2024.4.05.8000;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE ALAGOAS,MUNICIPIO DE MACEIO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
