
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;172094;16.44%
12495;60480;5.78%
12488;55109;5.27%
12494;54307;5.19%
12484;53252;5.09%
12487;53153;5.08%
12503;45632;4.36%
12486;42546;4.07%
12500;41941;4.01%
12496;32596;3.11%
Outros (1243 itens);435516;41.61%
TOTAL GERAL;1046626;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
SUL AMERICA COMPANHIA DE SEGURO SAUDE;12919;3.99%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;10551;3.26%
ADVOCACIA GERAL DA UNIAO;8777;2.71%
BRADESCO SAUDE S/A;7513;2.32%
DEFENSORIA PUBLICA DO ESTADO DO RIO DE JANEIRO-DPE;7485;2.31%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;6911;2.13%
ESTADO DE MINAS GERAIS;6795;2.10%
NOTRE DAME INTERMEDICA SAUDE S.A.;6302;1.94%
ESTADO DO RIO GRANDE DO SUL;4223;1.30%
HAPVIDA ASSISTENCIA MEDICA S.A.;3842;1.19%
Outros (15167 itens);137431;42.41%
Sigiloso;111318;34.35%
TOTAL GERAL;324067;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;50121;15.47%
ESTADO OU DISTRITO FEDERAL;30290;9.35%
COOPERATIVA;22459;6.93%
MUNICIPIO;17292;5.34%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;17280;5.33%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;13934;4.30%
SOCIEDADE EMPRESARIA LIMITADA;13684;4.22%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;13121;4.05%
ND;9845;3.04%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;6001;1.85%
Outros (44 itens);18722;5.78%
Sigiloso;111318;34.35%
TOTAL GERAL;324067;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO SUL;47989;5.20%
ADVOCACIA GERAL DA UNIAO;39338;4.26%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;23818;2.58%
ESTADO DE SAO PAULO;22718;2.46%
BRADESCO SAUDE S/A;21740;2.36%
ESTADO DE MINAS GERAIS;21664;2.35%
ESTADO DO RIO DE JANEIRO;18597;2.02%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;17238;1.87%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;16933;1.84%
ESTADO DE SANTA CATARINA;14118;1.53%
Outros (21119 itens);567119;61.47%
Sigiloso;111318;12.07%
TOTAL GERAL;922590;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;238813;25.89%
MUNICIPIO;176662;19.15%
SOCIEDADE ANONIMA FECHADA;110291;11.95%
COOPERATIVA;67800;7.35%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;59853;6.49%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;35698;3.87%
ND;31883;3.46%
SOCIEDADE EMPRESARIA LIMITADA;30843;3.34%
ASSOCIACAO PRIVADA;22844;2.48%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;6506;0.71%
Outros (50 itens);30079;3.26%
Sigiloso;111318;12.07%
TOTAL GERAL;922590;100.00%




=== REGIONAL CO_TJDFT_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12486;3409;12.75%
12489;2422;9.06%
12500;2269;8.48%
12506;2072;7.75%
12495;1173;4.39%
12503;966;3.61%
12496;929;3.47%
12501;919;3.44%
10671;889;3.32%
7779;830;3.10%
Outros (216 itens);10865;40.63%
